time,lat,lon,tempanomaly
1891-07-15,51.0,21.0,0.12
1891-08-15,51.0,21.0,-0.77
1891-09-15,51.0,21.0,0.21
1891-10-15,51.0,21.0,1.3199999
1891-11-15,51.0,21.0,-2.01
1891-12-15,51.0,21.0,1.13
1892-01-15,51.0,21.0,-0.14
1892-02-15,51.0,21.0,0.97999996
1892-03-15,51.0,21.0,-1.4
1892-04-15,51.0,21.0,-1.05
1892-05-15,51.0,21.0,0.69
1892-06-15,51.0,21.0,0.78
1892-07-15,51.0,21.0,-0.63
1892-08-15,51.0,21.0,2.6699998
1892-09-15,51.0,21.0,2.48
1892-10-15,51.0,21.0,-0.78999996
1892-11-15,51.0,21.0,-3.07
1892-12-15,51.0,21.0,-3.25
1893-01-15,51.0,21.0,-7.97
1893-02-15,51.0,21.0,1.87
1893-03-15,51.0,21.0,-0.32
1893-04-15,51.0,21.0,-2.6
1893-05-15,51.0,21.0,-0.59
1893-06-15,51.0,21.0,0.22999999
1893-07-15,51.0,21.0,0.53
1893-08-15,51.0,21.0,-0.55
1893-09-15,51.0,21.0,-1.0699999
1893-10-15,51.0,21.0,1.39
1893-11-15,51.0,21.0,-2.1699998
1893-12-15,51.0,21.0,1.37
1894-01-15,51.0,21.0,-1.27
1894-02-15,51.0,21.0,1.79
1894-03-15,51.0,21.0,2.24
1894-04-15,51.0,21.0,1.9599999
1894-05-15,51.0,21.0,1.06
1894-06-15,51.0,21.0,-2.1599998
1894-07-15,51.0,21.0,1.52
1894-08-15,51.0,21.0,-0.32999998
1894-09-15,51.0,21.0,-2.84
1894-10-15,51.0,21.0,-0.65
1894-11-15,51.0,21.0,-0.34
1894-12-15,51.0,21.0,-0.5
1895-01-15,51.0,21.0,1.38
1895-02-15,51.0,21.0,-4.04
1895-03-15,51.0,21.0,-1.9499999
1895-04-15,51.0,21.0,-0.03
1895-05-15,51.0,21.0,1.23
1895-06-15,51.0,21.0,0.95
1895-07-15,51.0,21.0,1.63
1895-08-15,51.0,21.0,0.01
1895-09-15,51.0,21.0,0.47
1895-10-15,51.0,21.0,-0.71
1895-11-15,51.0,21.0,-0.56
1895-12-15,51.0,21.0,-1.92
1896-01-15,51.0,21.0,-1.9599999
1896-02-15,51.0,21.0,0.76
1896-03-15,51.0,21.0,1.63
1896-04-15,51.0,21.0,-2.73
1896-05-15,51.0,21.0,-0.35999998
1896-06-15,51.0,21.0,1.67
1896-07-15,51.0,21.0,1.5
1896-08-15,51.0,21.0,-0.74
1896-09-15,51.0,21.0,-0.06
1896-10-15,51.0,21.0,2.79
1896-11-15,51.0,21.0,-3.34
1896-12-15,51.0,21.0,-0.95
1897-01-15,51.0,21.0,0.08
1897-02-15,51.0,21.0,0.66999996
1897-03-15,51.0,21.0,1.9499999
1897-04-15,51.0,21.0,-0.34
1897-05-15,51.0,21.0,0.68
1897-06-15,51.0,21.0,1.38
1897-07-15,51.0,21.0,0.19999999
1897-08-15,51.0,21.0,1.25
1897-09-15,51.0,21.0,-0.29
1897-10-15,51.0,21.0,-1.75
1897-11-15,51.0,21.0,-3.02
1897-12-15,51.0,21.0,-2.1499999
1898-01-15,51.0,21.0,3.28
1898-02-15,51.0,21.0,2.3999999
1898-03-15,51.0,21.0,1.0799999
1898-04-15,51.0,21.0,-0.5
1898-05-15,51.0,21.0,1.37
1898-06-15,51.0,21.0,-0.64
1898-07-15,51.0,21.0,-2.4299998
1898-08-15,51.0,21.0,0.53999996
1898-09-15,51.0,21.0,-1.1999999
1898-10-15,51.0,21.0,-1.41
1898-11-15,51.0,21.0,1.7199999
1898-12-15,51.0,21.0,2.75
1899-01-15,51.0,21.0,4.45
1899-02-15,51.0,21.0,2.18
1899-03-15,51.0,21.0,-0.35
1899-04-15,51.0,21.0,-0.19
1899-05-15,51.0,21.0,-0.14
1899-06-15,51.0,21.0,-2.04
1899-07-15,51.0,21.0,0.24
1899-08-15,51.0,21.0,-1.48
1899-09-15,51.0,21.0,-0.35
1899-10-15,51.0,21.0,-1.29
1899-11-15,51.0,21.0,0.84999996
1899-12-15,51.0,21.0,-2.4299998
1900-01-15,51.0,21.0,2.27
1900-02-15,51.0,21.0,3.59
1900-03-15,51.0,21.0,-2.58
1900-04-15,51.0,21.0,-1.7199999
1900-05-15,51.0,21.0,-0.9
1900-06-15,51.0,21.0,0.5
1900-07-15,51.0,21.0,1.52
1900-08-15,51.0,21.0,0.28
1900-09-15,51.0,21.0,-0.089999996
1900-10-15,51.0,21.0,-0.35999998
1900-11-15,51.0,21.0,1.28
1900-12-15,51.0,21.0,1.61
1901-01-15,51.0,21.0,-1.55
1901-02-15,51.0,21.0,-3.1
1901-03-15,51.0,21.0,-0.7
1901-04-15,51.0,21.0,-0.74
1901-05-15,51.0,21.0,1.52
1901-06-15,51.0,21.0,1.16
1901-07-15,51.0,21.0,1.5699999
1901-08-15,51.0,21.0,0.29999998
1901-09-15,51.0,21.0,-0.48
1901-10-15,51.0,21.0,0.97999996
